SalePrice,TotalArea,LivingArea,Neighborhood,PropertyType,BuildingQuality,Bedrooms,TotalRooms,Bathrooms,Floors,ConstructionMaterial,UtilitiesLevel,OwnershipType,YearBuilt,YearRemodel,YearSold
129500,7599,845,Mitchel,1Fam,4,2,4,1.0,1Story,HdBoard,AllPub,CBlock,1982,2006,2007
185000,10141,1718,Gilbert,1Fam,7,3,7,2.5,2Story,VinylSd,AllPub,PConc,1998,1998,2009
144900,10200,1086,NAmes,1Fam,5,3,6,1.0,1Story,Wd Sdng,AllPub,CBlock,1954,2003,2010
107400,5790,1605,OldTown,1Fam,3,3,8,2.0,2Story,VinylSd,AllPub,CBlock,1915,1950,2010
91000,1596,988,MeadowV,Twnhs,4,2,5,1.0,SLvl,CemntBd,AllPub,CBlock,1973,1973,2009
135750,8475,952,NAmes,1Fam,4,2,4,1.0,1Story,VinylSd,AllPub,CBlock,1956,1956,2008
127000,8635,1285,BrkSide,1Fam,5,2,6,1.0,1.5Fin,Wd Sdng,AllPub,CBlock,1948,2001,2008
136500,10778,1768,Sawyer,Duplex,4,4,8,2.0,1Story,HdBoard,AllPub,CBlock,1968,1968,2010
110000,10440,1230,OldTown,1Fam,5,2,5,1.5,2Story,Wd Sdng,AllPub,PConc,1910,1981,2009
193500,13000,2142,NAmes,1Fam,6,4,8,2.5,2Story,VinylSd,AllPub,CBlock,1968,1968,2009
153500,4500,1337,Mitchel,TwnhsE,6,2,5,2.0,1Story,VinylSd,AllPub,PConc,1998,1998,2006
245000,10206,1563,Somerst,1Fam,8,3,6,2.0,1Story,VinylSd,AllPub,PConc,2007,2007,2008
126500,8892,1065,NAmes,1Fam,5,3,6,1.5,1Story,MetalSd,AllPub,CBlock,1960,1960,2007
168500,8530,1474,Gilbert,1Fam,7,3,7,2.5,SLvl,HdBoard,AllPub,PConc,1995,1996,2009
260000,16059,2417,NoRidge,1Fam,8,4,9,2.5,2Story,HdBoard,AllPub,CBlock,1991,1992,2006
174000,11911,1560,Gilbert,1Fam,6,3,6,2.5,2Story,VinylSd,AllPub,PConc,2005,2005,2009
164500,3951,1224,Somerst,TwnhsE,6,2,4,2.5,2Story,VinylSd,AllPub,PConc,2009,2009,2009
85000,8470,1526,IDOTRR,1Fam,3,2,6,1.0,1.5Fin,Plywood,AllPub,CBlock,1915,1982,2009
123600,8070,990,CollgCr,1Fam,4,3,5,1.0,1Story,VinylSd,AllPub,PConc,1994,1995,2007
109900,7200,1040,NAmes,1Fam,4,2,4,1.0,1Story,BrkFace,AllPub,Slab,1950,1950,2006
98600,8500,1235,NAmes,1Fam,5,2,6,1.0,1Story,HdBoard,AllPub,CBlock,1961,1961,2006
163500,13360,964,Crawfor,1Fam,5,2,5,1.0,1Story,Wd Sdng,AllPub,BrkTil,1921,2006,2009
133900,7200,2291,OldTown,2fmCon,6,4,9,2.0,2.5Unf,MetalSd,AllPub,BrkTil,1910,1998,2007
204750,9337,1786,CollgCr,1Fam,6,3,7,2.5,2Story,VinylSd,AllPub,PConc,1997,1997,2007
185000,9765,1470,Gilbert,1Fam,6,3,6,2.5,2Story,VinylSd,AllPub,PConc,1993,1993,2009
214000,10264,1588,CollgCr,1Fam,7,3,6,2.0,1Story,VinylSd,AllPub,PConc,1999,1999,2006
94750,10921,960,Edwards,1Fam,4,3,6,1.0,1Story,HdBoard,AllPub,CBlock,1965,1965,2007
83000,10625,835,Edwards,1Fam,5,2,5,1.0,1Story,Wd Sdng,AllPub,BrkTil,1920,1950,2010
128950,9320,1225,NAmes,1Fam,4,3,6,1.5,1Story,Plywood,AllPub,CBlock,1959,1959,2010
205000,10603,1610,NWAmes,1Fam,6,3,6,2.0,1Story,Plywood,AllPub,PConc,1977,2001,2010
178000,9206,1732,SawyerW,1Fam,6,3,7,2.5,2Story,HdBoard,AllPub,CBlock,1985,1985,2010
118964,7018,1535,SawyerW,Duplex,5,4,8,2.0,1Story,HdBoard,AllPub,Slab,1979,1979,2009
198900,10402,1226,CollgCr,1Fam,7,3,6,2.0,1Story,VinylSd,AllPub,PConc,2009,2009,2010
169500,7758,1818,IDOTRR,1Fam,7,4,7,1.5,1.5Fin,Stucco,AllPub,PConc,1931,1950,2007
250000,9375,1992,Somerst,1Fam,8,3,9,2.5,2Story,VinylSd,AllPub,PConc,2003,2004,2008
100000,10800,1047,OldTown,1Fam,4,2,6,1.0,1Story,VinylSd,AllPub,BrkTil,1885,1995,2007
115000,6000,789,OldTown,1Fam,5,2,5,1.0,1Story,VinylSd,AllPub,CBlock,1948,1950,2008
115000,8500,1517,IDOTRR,1Fam,5,3,7,2.0,1.5Fin,CemntBd,AllPub,CBlock,1919,2005,2007
190000,11751,1844,NWAmes,1Fam,6,3,7,2.0,1Story,Plywood,AllPub,CBlock,1977,1977,2010
136900,9525,1855,Edwards,1Fam,6,4,7,2.0,1.5Fin,Wd Sdng,AllPub,CBlock,1954,1972,2006
180000,7750,1430,Gilbert,1Fam,7,3,7,2.5,SLvl,VinylSd,AllPub,PConc,2000,2000,2010
383970,9965,2696,CollgCr,1Fam,7,4,10,2.5,2Story,VinylSd,AllPub,PConc,2007,2007,2007
217000,21000,2259,Crawfor,1Fam,6,3,7,2.0,1Story,Wd Sdng,AllPub,CBlock,1953,1953,2007
259500,7259,2320,Crawfor,1Fam,6,3,9,2.5,2Story,Wd Sdng,AllPub,CBlock,1945,2002,2007
176000,3230,1458,Somerst,TwnhsE,6,2,5,2.5,2Story,MetalSd,AllPub,PConc,1999,1999,2007
139000,11616,1092,Sawyer,1Fam,5,3,6,1.0,1Story,Wd Sdng,AllPub,CBlock,1962,1962,2009
155000,8536,1125,Edwards,1Fam,5,2,5,1.5,1Story,VinylSd,AllPub,PConc,2006,2007,2007
320000,12376,3222,SawyerW,1Fam,7,5,11,3.0,2Story,Plywood,AllPub,PConc,1990,1990,2010
163990,8461,1456,CollgCr,1Fam,6,3,8,2.5,2Story,VinylSd,AllPub,PConc,2005,2006,2006
180000,21453,988,ClearCr,1Fam,6,1,4,1.0,SLvl,Plywood,AllPub,CBlock,1969,1969,2006
100000,6060,1123,IDOTRR,1Fam,4,3,4,1.0,1.5Fin,AsbShng,AllPub,PConc,1939,1950,2007
136000,9464,1080,NAmes,1Fam,6,3,5,1.0,1Story,MetalSd,AllPub,CBlock,1958,1958,2008
153900,7892,1199,SawyerW,TwnhsE,6,2,5,2.0,1Story,Plywood,AllPub,PConc,1993,1993,2008
181000,17043,1586,NWAmes,1Fam,6,3,7,2.0,1Story,HdBoard,AllPub,CBlock,1979,1998,2009
84500,6780,754,IDOTRR,2fmCon,6,2,5,1.0,1.5Fin,Wd Sdng,AllPub,CBlock,1935,1982,2006
128000,4928,958,NPkVill,TwnhsE,6,2,5,2.0,1Story,Plywood,AllPub,CBlock,1976,1976,2007
87000,4388,840,OldTown,1Fam,5,3,5,1.0,1.5Unf,WdShing,AllPub,BrkTil,1930,1950,2007
155000,7590,1348,NAmes,1Fam,6,3,6,1.5,2Story,VinylSd,AllPub,CBlock,1966,1966,2006
150000,8973,1053,NAmes,1Fam,5,3,6,1.5,1Story,Plywood,AllPub,CBlock,1958,1991,2006
226000,14200,2157,NAmes,1Fam,7,4,8,2.5,2Story,MetalSd,AllPub,CBlock,1966,1966,2006
244000,12224,2054,Gilbert,1Fam,6,3,7,2.5,2Story,VinylSd,AllPub,PConc,2000,2000,2009
150750,7388,1327,NAmes,1Fam,5,3,7,1.0,1Story,MetalSd,AllPub,CBlock,1959,2002,2007
220000,6853,1296,Timber,1Fam,8,2,6,2.0,1Story,VinylSd,AllPub,PConc,2001,2002,2009
180000,10335,1721,Sawyer,1Fam,5,3,7,2.5,1Story,Plywood,AllPub,CBlock,1968,1993,2006
174000,10400,1682,NWAmes,1Fam,7,3,7,2.0,1Story,Plywood,AllPub,PConc,1970,1970,2008
143000,10355,1214,NAmes,1Fam,5,3,5,2.0,1Story,MetalSd,AllPub,CBlock,1967,1967,2007
171000,11070,1959,Mitchel,Duplex,7,5,9,3.0,1Story,VinylSd,AllPub,CBlock,1988,1989,2006
230000,9066,1852,CollgCr,1Fam,8,3,7,2.5,2Story,VinylSd,AllPub,PConc,1999,2000,2008
231500,15426,1764,CollgCr,1Fam,6,3,7,2.5,2Story,VinylSd,AllPub,PConc,1997,1997,2009
115000,10500,864,NAmes,1Fam,4,3,5,1.0,1Story,HdBoard,AllPub,CBlock,1971,1971,2010
260000,11645,1734,CollgCr,1Fam,7,3,7,2.0,1Story,VinylSd,AllPub,PConc,2005,2005,2006
166000,8520,1385,NAmes,1Fam,5,4,6,2.0,1.5Fin,BrkFace,AllPub,CBlock,1952,1952,2010
204000,10335,1501,CollgCr,1Fam,7,3,6,2.0,1Story,VinylSd,AllPub,PConc,1999,1999,2009
125000,9100,1728,Sawyer,Duplex,5,6,10,2.0,1Story,HdBoard,AllPub,CBlock,1963,1963,2006
130000,2522,1709,Edwards,Twnhs,6,3,7,2.0,2Story,VinylSd,AllPub,PConc,2004,2006,2006
105000,6120,875,BrkSide,1Fam,5,2,5,1.0,1Story,Wd Sdng,AllPub,BrkTil,1931,1993,2009
222500,9505,2035,Gilbert,1Fam,7,3,8,2.5,2Story,VinylSd,AllPub,PConc,2001,2001,2010
141000,7500,1080,SawyerW,1Fam,7,3,6,1.0,1Story,VinylSd,AllPub,PConc,2004,2005,2008
115000,6240,1344,BrkSide,1Fam,5,3,7,1.0,1.5Fin,MetalSd,AllPub,BrkTil,1936,1950,2006
122000,10356,969,CollgCr,1Fam,5,3,5,1.5,1Story,HdBoard,AllPub,CBlock,1975,1975,2007
372402,13891,1710,NridgHt,1Fam,8,2,6,2.0,1Story,VinylSd,AllPub,PConc,2007,2008,2008
190000,14803,1993,NWAmes,1Fam,6,4,8,2.5,2Story,HdBoard,AllPub,CBlock,1971,1971,2006
235000,13500,1252,ClearCr,1Fam,6,1,4,1.0,1Story,BrkFace,AllPub,CBlock,1960,1975,2008
125000,11340,1200,OldTown,1Fam,6,4,7,1.0,1Story,Wd Sdng,AllPub,BrkTil,1923,1950,2006
79000,9600,1096,Edwards,1Fam,6,2,5,1.0,1.5Fin,Wd Sdng,AllPub,BrkTil,1924,1950,2008
109500,7200,1040,NAmes,1Fam,5,2,5,1.0,1Story,Wd Sdng,AllPub,CBlock,1950,1950,2006
269500,12003,1968,Timber,1Fam,8,4,8,2.5,2Story,VinylSd,AllPub,PConc,2009,2010,2010
254900,12552,1947,Somerst,1Fam,7,3,8,2.5,2Story,VinylSd,AllPub,PConc,2004,2005,2010
320000,19378,2462,Gilbert,1Fam,7,4,9,2.5,2Story,VinylSd,AllPub,PConc,2005,2006,2006
162500,11120,1232,Veenker,1Fam,6,3,6,2.0,1Story,Plywood,AllPub,PConc,1984,1984,2008
412500,13688,2668,NridgHt,1Fam,9,3,10,2.5,2Story,VinylSd,AllPub,PConc,2003,2004,2008
220000,12182,1541,NridgHt,1Fam,7,3,7,2.0,1Story,VinylSd,AllPub,PConc,2005,2005,2010
103200,5500,882,OldTown,1Fam,4,1,4,1.0,1.5Unf,MetalSd,AllPub,CBlock,1956,1956,2007
152000,5400,1616,OldTown,1Fam,6,3,5,2.0,1Story,MetalSd,AllPub,BrkTil,1926,2004,2007
127500,10106,1355,Edwards,2fmCon,5,4,6,2.0,1.5Fin,Wd Sdng,AllPub,BrkTil,1940,1999,2008
190000,10708,1867,ClearCr,1Fam,5,2,7,1.0,1Story,Wd Sdng,AllPub,CBlock,1955,1993,2009
325624,10562,2161,NridgHt,1Fam,8,3,8,1.5,2Story,VinylSd,AllPub,PConc,2007,2007,2007
183500,8244,1720,Gilbert,1Fam,7,3,7,2.5,2Story,VinylSd,AllPub,PConc,2004,2004,2007
228000,16669,1707,Timber,1Fam,8,2,6,2.5,1Story,Plywood,AllPub,CBlock,1981,1981,2006
128500,12358,1382,OldTown,1Fam,5,2,7,1.5,1.5Fin,MetalSd,AllPub,CBlock,1941,1950,2007
215000,31770,1656,NAmes,1Fam,6,3,7,1.0,1Story,BrkFace,AllPub,CBlock,1960,1960,2010
239000,5306,1767,StoneBr,TwnhsE,7,2,5,2.0,2Story,HdBoard,AllPub,PConc,1987,1987,2006
163000,10197,1362,NAmes,1Fam,6,3,6,1.5,1Story,WdShing,AllPub,CBlock,1961,1961,2008
184000,12416,1651,Timber,1Fam,6,3,7,2.0,1Story,VinylSd,AllPub,CBlock,1986,1986,2008
243000,12615,2158,Edwards,1Fam,6,4,7,2.0,1Story,WdShing,AllPub,CBlock,1950,2001,2007
211000,10029,2060,ClearCr,1Fam,6,4,8,2.5,2Story,Plywood,AllPub,PConc,1988,1989,2007
172500,13650,1920,Sawyer,1Fam,5,4,8,2.0,1.5Fin,MetalSd,AllPub,CBlock,1958,1958,2006
501837,17423,2234,StoneBr,1Fam,9,1,9,2.0,1Story,VinylSd,AllPub,PConc,2008,2009,2009
100000,8520,968,OldTown,1Fam,5,2,5,1.0,1Story,Wd Sdng,AllPub,CBlock,1923,2006,2007
177000,2117,1525,Somerst,Twnhs,6,3,5,2.5,2Story,MetalSd,AllPub,PConc,2000,2000,2007
200100,7588,1802,Crawfor,1Fam,7,4,9,1.5,2Story,Stucco,AllPub,BrkTil,1920,1950,2006
120000,9060,1340,Edwards,1Fam,5,3,7,1.0,1Story,Wd Sdng,AllPub,PConc,1957,2006,2007
200000,11426,2082,OldTown,1Fam,7,3,6,2.5,1.5Fin,VinylSd,AllPub,PConc,2003,2003,2008
127000,7438,1252,BrkSide,1Fam,5,3,5,1.0,1.5Fin,AsbShng,AllPub,PConc,1908,1991,2006
475000,22950,3608,OldTown,1Fam,10,4,12,2.5,2.5Fin,Wd Sdng,AllPub,BrkTil,1892,1993,2006
173000,9947,1217,Mitchel,1Fam,7,3,6,2.0,SLvl,HdBoard,AllPub,PConc,1990,1991,2009
135000,10410,1656,OldTown,1Fam,5,3,8,2.5,1.5Fin,HdBoard,AllPub,CBlock,1916,1987,2009
153337,7018,1224,SawyerW,Duplex,5,2,6,1.0,SFoyer,Plywood,AllPub,CBlock,1979,1979,2009
286000,4923,1593,StoneBr,TwnhsE,8,0,5,1.5,1Story,CemntBd,AllPub,PConc,2001,2002,2008
315000,10570,2727,Crawfor,1Fam,8,3,10,2.5,2Story,BrkFace,AllPub,CBlock,1932,1994,2007
184000,7472,1479,NAmes,1Fam,7,4,7,1.5,2Story,HdBoard,AllPub,CBlock,1972,2004,2007
192000,9017,1431,CollgCr,1Fam,7,3,6,2.0,1Story,VinylSd,AllPub,PConc,1999,1999,2009
130000,2522,1709,Edwards,Twnhs,7,3,7,2.0,2Story,VinylSd,AllPub,PConc,2004,2004,2006
127000,7180,864,CollgCr,1Fam,5,3,5,1.0,1Story,HdBoard,AllPub,CBlock,1972,1972,2008
148500,2280,1456,NPkVill,Twnhs,6,3,7,2.5,2Story,Plywood,AllPub,CBlock,1976,1976,2009
311872,9416,1726,Somerst,1Fam,7,3,8,2.0,1Story,CemntBd,AllPub,PConc,2007,2007,2007
235000,25419,3112,NAmes,1Fam,8,4,8,2.0,2Story,Stucco,AllPub,PConc,1918,1990,2006
104000,5520,2229,OldTown,1Fam,6,5,8,1.0,2.5Fin,Wd Sdng,AllPub,CBlock,1912,1950,2009
274900,9591,1713,NridgHt,1Fam,8,3,7,2.0,1Story,VinylSd,AllPub,PConc,2004,2005,2009
140000,8546,1121,Edwards,1Fam,4,2,5,2.0,1Story,VinylSd,AllPub,PConc,2003,2004,2010
171500,10125,1279,Mitchel,1Fam,6,3,6,2.0,1Story,Plywood,AllPub,CBlock,1977,1977,2008
112000,7000,1310,OldTown,1Fam,6,2,6,2.0,1.5Fin,MetalSd,AllPub,BrkTil,1924,1950,2006
149000,4438,848,CollgCr,TwnhsE,6,1,3,1.0,1Story,VinylSd,AllPub,PConc,2004,2004,2008
110000,3500,1284,OldTown,1Fam,5,2,5,1.5,1.5Fin,AsbShng,AllPub,CBlock,1947,1950,2009
180500,11851,1442,Gilbert,1Fam,7,3,5,2.0,1Story,HdBoard,AllPub,PConc,1990,1990,2009
143900,13673,1696,Sawyer,1Fam,5,3,8,1.5,1Story,HdBoard,AllPub,CBlock,1962,1962,2007
141000,12493,1100,NAmes,1Fam,4,3,6,1.0,1Story,Wd Sdng,AllPub,PConc,1960,1960,2008
277000,14364,2062,SawyerW,1Fam,7,3,7,2.5,2Story,Plywood,AllPub,CBlock,1988,1989,2007
145000,8250,1092,NAmes,1Fam,6,3,6,1.0,1Story,HdBoard,AllPub,CBlock,1964,1964,2008
98000,5604,864,Edwards,1Fam,5,2,5,1.0,1Story,Stucco,AllPub,CBlock,1925,1950,2008
186000,10420,1212,Edwards,1Fam,6,3,6,2.0,1Story,VinylSd,AllPub,PConc,2009,2009,2010
252678,8640,1852,Somerst,1Fam,7,3,7,2.5,2Story,VinylSd,AllPub,PConc,2009,2009,2009
156000,13568,990,CollgCr,1Fam,5,3,5,1.0,1Story,VinylSd,AllPub,PConc,1995,1995,2006
161750,10900,1392,CollgCr,1Fam,6,3,6,1.5,2Story,HdBoard,AllPub,CBlock,1977,1977,2010
134450,10011,1236,NAmes,1Fam,5,2,6,1.0,1Story,HdBoard,AllPub,CBlock,1957,1996,2006
210000,8450,1436,CollgCr,1Fam,7,3,8,2.0,1Story,VinylSd,AllPub,PConc,2004,2004,2008
107000,9906,1328,OldTown,1Fam,4,3,8,1.0,2Story,MetalSd,AllPub,CBlock,1925,1950,2006
311500,15660,1954,Crawfor,1Fam,7,3,8,1.5,1.5Fin,VinylSd,AllPub,CBlock,1939,2006,2008
167240,3010,1248,Blmngtn,TwnhsE,7,2,5,2.0,1Story,VinylSd,AllPub,PConc,2005,2006,2006
204900,8990,1498,CollgCr,1Fam,7,2,5,2.0,1Story,VinylSd,AllPub,PConc,2006,2006,2006
200000,8068,2267,Gilbert,1Fam,6,4,8,2.5,2Story,VinylSd,AllPub,PConc,2002,2002,2009
179900,11475,1552,NWAmes,1Fam,6,3,6,2.5,2Story,VinylSd,AllPub,CBlock,1975,1975,2006
97000,10500,864,NAmes,1Fam,4,2,4,1.0,1Story,HdBoard,AllPub,CBlock,1971,1971,2009
386250,13472,2392,NridgHt,1Fam,10,3,8,2.0,1Story,VinylSd,AllPub,PConc,2003,2003,2009
112000,1680,1302,BrDale,Twnhs,5,3,6,2.5,2Story,HdBoard,AllPub,CBlock,1971,1971,2009
290000,9950,2520,NoRidge,1Fam,7,4,9,2.5,2Story,VinylSd,AllPub,PConc,1995,1995,2007
106000,1869,987,BrDale,Twnhs,6,2,5,1.5,2Story,HdBoard,AllPub,CBlock,1970,1970,2008
125000,8521,912,Sawyer,1Fam,5,3,5,1.0,1Story,HdBoard,AllPub,CBlock,1967,1967,2010
192500,3182,1555,Blmngtn,TwnhsE,7,2,7,2.0,1Story,VinylSd,AllPub,PConc,2005,2006,2009
148000,8760,1194,NAmes,1Fam,6,3,6,1.0,1Story,MetalSd,AllPub,CBlock,1959,1959,2010
403000,15138,2794,NoRidge,1Fam,8,4,9,2.5,2Story,VinylSd,AllPub,PConc,1995,1996,2009
94500,1680,987,BrDale,Twnhs,6,2,5,1.5,2Story,HdBoard,AllPub,CBlock,1972,1972,2006
128200,10650,894,CollgCr,1Fam,5,3,5,1.0,1Story,HdBoard,AllPub,CBlock,1976,1976,2010
